Name,Age
Elon Musk,50
Jeff Bezos,58
Bernard Arnault & family,73
Bill Gates,66
Warren Buffett,91
Larry Page,49
Sergey Brin,48
Larry Ellison,77
Steve Ballmer,66
Mukesh Ambani,64
Gautam Adani & family,59
Michael Bloomberg,80
Carlos Slim Helu & family,82
Francoise Bettencourt Meyers & family,68
Mark Zuckerberg,37
Jim Walton,73
Zhong Shanshan,67
Alice Walton,72
Rob Walton,77
Changpeng Zhao,44
Charles Koch,86
Julia Koch & family,59
Amancio Ortega,86
Michael Dell,57
Zhang Yiming,38
David Thomson & family,64
Phil Knight & family,84
Dieter Schwarz,82
Robin Zeng,53
MacKenzie Scott,51
Rodolphe Saadé & family,52
François Pinault & family,85
Klaus-Michael Kuehne,84
Ma Huateng,50
Beate Heister & Karl Albrecht Jr. & family,50
Giovanni Ferrero,57
Li Ka-shing,93
Stephen Schwarzman,75
Lee Shau Kee,94
Len Blavatnik,64
Jacqueline Mars,82
John Mars,86
Alain Wertheimer,73
Gerard Wertheimer,71
German Larrea Mota Velasco & family,68
Gina Rinehart,68
Shiv Nadar,76
Jim Simons,83
He Xiangjian,79
Miriam Adelson,76
Dietrich Mateschitz,77
Leonardo Del Vecchio & family,86
Ken Griffin,53
Tadashi Yanai & family,73
William Lei Ding,50
Susanne Klatten,59
Cyrus Poonawalla,80
Wang Wei,51
Qin Yinglin,56
Sam Bankman-Fried,30
Takemitsu Takizaki,76
Li Shufu,58
Emmanuel Besnier,51
R. Budi Hartono,81
Leonard Lauder,89
Guillaume Pousaz,40
Iris Fontbona & family,79
Jack Ma,57
Michael Hartono,82
Eric Schmidt,66
Ray Dalio,72
Daniel Gilbert,60
"Thomas Frist, Jr. & family",83
Masayoshi Son,64
Abigail Johnson,60
Rupert Murdoch & family,91
Stefan Quandt,55
Jensen Huang,59
Huang Shilin,55
Thomas Peterffy,77
Radhakishan Damani,67
Pang Kang,66
Wang Chuanfu,56
Reinhold Wuerth & family,86
"Theo Albrecht, Jr. & family",71
Yang Huiyan & family,40
Vladimir Lisin,65
Fan Hongwei & family,55
Lakshmi Mittal,71
Andrew Forrest,60
Jiang Rensheng & family,68
Savitri Jindal & family,72
Wang Wenyin,54
Li Xiting,71
Stefan Persson,74
Steve Cohen,65
Vladimir Potanin,61
Harold Hamm & family,76
Sun Piaoyang,63
Luo Liguo & family,66
Peter Woo,75
